date_time,temp_deg_c,date,time,temp_c_rounded
2020-01-09 18:00:00,23.02,2020-01-09,18:00:00,23.0
2020-01-09 21:00:00,21.41,2020-01-09,21:00:00,21.0
2020-01-10 00:00:00,19.9,2020-01-10,00:00:00,20.0
2020-01-10 03:00:00,21.01,2020-01-10,03:00:00,21.0
2020-01-10 06:00:00,26.68,2020-01-10,06:00:00,27.0
2020-01-10 09:00:00,28.77,2020-01-10,09:00:00,29.0
2020-01-10 12:00:00,28.74,2020-01-10,12:00:00,29.0
2020-01-10 15:00:00,25.64,2020-01-10,15:00:00,26.0
2020-01-10 18:00:00,22.35,2020-01-10,18:00:00,22.0
2020-01-10 21:00:00,20.58,2020-01-10,21:00:00,21.0
2020-01-11 00:00:00,19.27,2020-01-11,00:00:00,19.0
2020-01-11 03:00:00,20.89,2020-01-11,03:00:00,21.0
2020-01-11 06:00:00,26.45,2020-01-11,06:00:00,26.0
2020-01-11 09:00:00,29.43,2020-01-11,09:00:00,29.0
2020-01-11 12:00:00,29.21,2020-01-11,12:00:00,29.0
2020-01-11 15:00:00,25.6,2020-01-11,15:00:00,26.0
2020-01-11 18:00:00,22.12,2020-01-11,18:00:00,22.0
2020-01-11 21:00:00,20.31,2020-01-11,21:00:00,20.0
2020-01-12 00:00:00,18.88,2020-01-12,00:00:00,19.0
2020-01-12 03:00:00,21.15,2020-01-12,03:00:00,21.0
2020-01-12 06:00:00,26.09,2020-01-12,06:00:00,26.0
2020-01-12 09:00:00,29.35,2020-01-12,09:00:00,29.0
2020-01-12 12:00:00,30.0,2020-01-12,12:00:00,30.0
2020-01-12 15:00:00,24.85,2020-01-12,15:00:00,25.0
2020-01-12 18:00:00,22.1,2020-01-12,18:00:00,22.0
2020-01-12 21:00:00,20.33,2020-01-12,21:00:00,20.0
2020-01-13 00:00:00,18.77,2020-01-13,00:00:00,19.0
2020-01-13 03:00:00,21.56,2020-01-13,03:00:00,22.0
2020-01-13 06:00:00,27.4,2020-01-13,06:00:00,27.0
2020-01-13 09:00:00,30.09,2020-01-13,09:00:00,30.0
2020-01-13 12:00:00,30.17,2020-01-13,12:00:00,30.0
2020-01-13 15:00:00,25.01,2020-01-13,15:00:00,25.0
2020-01-13 18:00:00,23.19,2020-01-13,18:00:00,23.0
2020-01-13 21:00:00,21.55,2020-01-13,21:00:00,22.0
2020-01-14 00:00:00,18.73,2020-01-14,00:00:00,19.0
2020-01-14 03:00:00,22.17,2020-01-14,03:00:00,22.0
2020-01-14 06:00:00,27.37,2020-01-14,06:00:00,27.0
2020-01-14 09:00:00,30.58,2020-01-14,09:00:00,31.0
2020-01-14 12:00:00,30.22,2020-01-14,12:00:00,30.0
2020-01-14 15:00:00,26.0,2020-01-14,15:00:00,26.0
